"TIME","GEO","UNIT","SECTOR","COFOG99","NA_ITEM","Value","Flag and Footnotes"
"1995","Belgium","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.9",""
"1995","Belgium","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.7",""
"1995","Bulgaria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1995","Bulgaria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1995","Czech Republic","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.2",""
"1995","Czech Republic","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.1",""
"1995","Denmark","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.8",""
"1995","Denmark","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","25.2",""
"1995","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.1",""
"1995","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","20.3",""
"1995","Estonia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.9",""
"1995","Estonia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.3",""
"1995","Ireland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.9",""
"1995","Ireland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.3",""
"1995","Greece","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.0",""
"1995","Greece","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.1",""
"1995","Spain","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.2",""
"1995","Spain","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","14.4",""
"1995","France","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.1",""
"1995","France","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.2",""
"1995","Croatia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1995","Croatia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1995","Italy","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.3",""
"1995","Italy","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.6",""
"1995","Cyprus","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1995","Cyprus","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1995","Latvia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.1",""
"1995","Latvia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.1",""
"1995","Lithuania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.1",""
"1995","Lithuania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","9.8",""
"1995","Luxembourg","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.0",""
"1995","Luxembourg","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.9",""
"1995","Hungary","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.7",""
"1995","Hungary","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.8",""
"1995","Malta","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.8",""
"1995","Malta","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.3",""
"1995","Netherlands","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.7",""
"1995","Netherlands","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","18.6",""
"1995","Austria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.7",""
"1995","Austria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.9",""
"1995","Poland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1995","Poland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1995","Portugal","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.4",""
"1995","Portugal","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.5",""
"1995","Romania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","2.4",""
"1995","Romania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","10.0",""
"1995","Slovenia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1995","Slovenia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1995","Slovakia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.9",""
"1995","Slovakia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.0",""
"1995","Finland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.2",""
"1995","Finland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","25.1",""
"1995","Sweden","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.1",""
"1995","Sweden","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","25.6",""
"1995","United Kingdom","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.1",""
"1995","United Kingdom","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","14.9",""
"1996","Belgium","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.2",""
"1996","Belgium","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.8",""
"1996","Bulgaria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1996","Bulgaria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1996","Czech Republic","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.7",""
"1996","Czech Republic","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.5",""
"1996","Denmark","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.7",""
"1996","Denmark","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","24.9",""
"1996","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.2",""
"1996","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.2",""
"1996","Estonia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.9",""
"1996","Estonia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.2",""
"1996","Ireland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.6",""
"1996","Ireland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.4",""
"1996","Greece","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.9",""
"1996","Greece","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.1",""
"1996","Spain","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.3",""
"1996","Spain","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","14.1",""
"1996","France","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.2",""
"1996","France","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.3",""
"1996","Croatia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1996","Croatia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1996","Italy","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.4",""
"1996","Italy","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.9",""
"1996","Cyprus","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1996","Cyprus","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1996","Latvia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","2.9",""
"1996","Latvia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.9",""
"1996","Lithuania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.3",""
"1996","Lithuania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","10.3",""
"1996","Luxembourg","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.2",""
"1996","Luxembourg","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.9",""
"1996","Hungary","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.3",""
"1996","Hungary","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.7",""
"1996","Malta","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.1",""
"1996","Malta","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.6",""
"1996","Netherlands","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.5",""
"1996","Netherlands","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.9",""
"1996","Austria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.7",""
"1996","Austria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.8",""
"1996","Poland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1996","Poland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1996","Portugal","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.6",""
"1996","Portugal","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.9",""
"1996","Romania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","2.3",""
"1996","Romania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","9.6",""
"1996","Slovenia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1996","Slovenia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1996","Slovakia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.3",""
"1996","Slovakia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.0",""
"1996","Finland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.4",""
"1996","Finland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","24.9",""
"1996","Sweden","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.3",""
"1996","Sweden","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","24.6",""
"1996","United Kingdom","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.0",""
"1996","United Kingdom","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","14.4",""
"1997","Belgium","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.9",""
"1997","Belgium","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.6",""
"1997","Bulgaria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1997","Bulgaria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1997","Czech Republic","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.3",""
"1997","Czech Republic","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.0",""
"1997","Denmark","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.5",""
"1997","Denmark","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","23.9",""
"1997","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.1",""
"1997","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.0",""
"1997","Estonia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.4",""
"1997","Estonia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","10.6",""
"1997","Ireland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.6",""
"1997","Ireland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.4",""
"1997","Greece","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.9",""
"1997","Greece","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.1",""
"1997","Spain","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.1",""
"1997","Spain","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.8",""
"1997","France","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.0",""
"1997","France","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.3",""
"1997","Croatia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1997","Croatia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1997","Italy","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.5",""
"1997","Italy","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.3",""
"1997","Cyprus","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1997","Cyprus","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1997","Latvia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.6",""
"1997","Latvia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.7",""
"1997","Lithuania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.6",""
"1997","Lithuania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","10.7",""
"1997","Luxembourg","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.1",""
"1997","Luxembourg","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.1",""
"1997","Hungary","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.2",""
"1997","Hungary","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.0",""
"1997","Malta","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.4",""
"1997","Malta","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.4",""
"1997","Netherlands","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.7",""
"1997","Netherlands","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.7",""
"1997","Austria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.0",""
"1997","Austria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.2",""
"1997","Poland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1997","Poland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1997","Portugal","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.7",""
"1997","Portugal","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.5",""
"1997","Romania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","1.9",""
"1997","Romania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","10.3",""
"1997","Slovenia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1997","Slovenia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1997","Slovakia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.8",""
"1997","Slovakia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","14.5",""
"1997","Finland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.2",""
"1997","Finland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","23.3",""
"1997","Sweden","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.1",""
"1997","Sweden","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","23.3",""
"1997","United Kingdom","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.7",""
"1997","United Kingdom","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","14.2",""
"1998","Belgium","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.9",""
"1998","Belgium","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.3",""
"1998","Bulgaria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","2.5",""
"1998","Bulgaria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","9.7",""
"1998","Czech Republic","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.5",""
"1998","Czech Republic","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.8",""
"1998","Denmark","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.6",""
"1998","Denmark","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","23.5",""
"1998","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.0",""
"1998","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.2",""
"1998","Estonia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.5",""
"1998","Estonia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","10.7",""
"1998","Ireland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.5",""
"1998","Ireland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","10.2",""
"1998","Greece","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.2",""
"1998","Greece","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.5",""
"1998","Spain","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.1",""
"1998","Spain","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.3",""
"1998","France","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.9",""
"1998","France","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.0",""
"1998","Croatia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1998","Croatia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1998","Italy","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.5",""
"1998","Italy","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.0",""
"1998","Cyprus","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1998","Cyprus","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1998","Latvia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.9",""
"1998","Latvia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.6",""
"1998","Lithuania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.4",""
"1998","Lithuania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.0",""
